id,song_id,song_title,song_artist,spotify_link
758,58,Sunny Afternoon,The Kinks,[{'song_link': 'https://open.spotify.com/track/0DQqzCHlPyKQXfF8uL01SI'}]
759,59,Strangers,The Kinks,[{'song_link': 'https://open.spotify.com/track/7obb4s6A7gf0Lc2AGxodMy'}]
760,60,A Well Respected Man,The Kinks,[{'song_link': 'https://open.spotify.com/track/5e3isD5st7PGYzSJuoRSIV'}]
761,61,Dinero,Jennifer Lopez,[{'song_link': 'https://open.spotify.com/track/22mQXNE0nCuWq4yOwcadIn'}]
762,62,On the Floor,Jennifer Lopez,[{'song_link': 'https://open.spotify.com/album/543NK5YT3RjGmP7nFzWJPm'}]
763,63,Jenny from the Block,Jennifer Lopez,[{'song_link': 'https://open.spotify.com/track/6JX3sxDbJ5NOvcyLfI2a47'}]
764,64,All I Have,Jennifer Lopez,[{'song_link': 'https://open.spotify.com/track/0DpHMZ0vPPG79nXaJGIZlY'}]
765,65,Ain’t Your Mama,Jennifer Lopez,[{'song_link': 'https://open.spotify.com/track/1zdDVW082LGAlTuORp723x'}]
766,66,Glory Box,Portishead,[{'song_link': 'https://open.spotify.com/track/3Ty7OTBNSigGEpeW2PqcsC'}]
767,67,Roads,Portishead,[{'song_link': 'https://open.spotify.com/track/2sW8fmnISifQTRgnRrQTYW'}]
768,68,Sour Times,Portishead,[{'song_link': 'https://open.spotify.com/track/6vTtCOimcPs5H1Jr9d0Aep'}]
769,69,The Rip,Portishead,[{'song_link': 'https://open.spotify.com/track/5Pi5lm4YtTKMfPrfhf0Onr'}]
770,70,Wandering Star,Portishead,[{'song_link': 'https://open.spotify.com/track/7h14W1uQK7sjpVI1oVTobt'}]
771,71,The Middle,Jimmy Eat World,[{'song_link': 'https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO'}]
772,72,Hear You Me,Jimmy Eat World,[{'song_link': 'https://open.spotify.com/track/1TvNcWY7WwPLQINhimxycA'}]
773,73,Sweetness,Jimmy Eat World,[{'song_link': 'https://open.spotify.com/track/429IbFR4yp2J81CeTwF5iY'}]
774,74,Bleed American,Jimmy Eat World,[{'song_link': 'https://open.spotify.com/track/61XspFITuKmAlYdQacNCbF'}]
775,75,23,Jimmy Eat World,[{'song_link': 'https://open.spotify.com/track/59d33G8qJVS1pGkPEChguB'}]
776,76,Iris,The Goo Goo Dolls,[{'song_link': 'https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs'}]
777,77,Name,The Goo Goo Dolls,[{'song_link': 'https://open.spotify.com/track/1G8jae4jD8mwkXdodqHsBM'}]
778,78,Black Balloon,The Goo Goo Dolls,[{'song_link': 'https://open.spotify.com/track/5zmaypMaWb21FUGBxbw8hT'}]
779,79,Slide,The Goo Goo Dolls,[{'song_link': 'https://open.spotify.com/track/0nnwn7LWHCAu09jfuH1xTA'}]
780,80,Slide (Live),The Goo Goo Dolls,[{'song_link': 'https://open.spotify.com/track/7oFnm83Kzswal4m6XYERUM'}]
781,81,"Flightless Bird, American Mouth",Iron & Wine,[{'song_link': 'https://open.spotify.com/track/1fEGtTZjrjJW8eUeewnNJR'}]
782,82,The Trapeze Swinger,Iron & Wine,[{'song_link': 'https://open.spotify.com/track/0EAvKXjChn1Rc3QmfYXevy'}]
783,83,Naked as We Came,Iron & Wine,[{'song_link': 'https://open.spotify.com/track/2gUSIsapdX6jEJ0DvjqTt2'}]
784,84,Call It Dreaming,Iron & Wine,[{'song_link': 'https://open.spotify.com/track/1MxHIIzcTeFnaNsDGY3pfj'}]
785,85,Upward Over The Mountain,Iron & Wine,[{'song_link': 'https://open.spotify.com/track/7fLBwcH8ixVT0kD5KFqfu7'}]
786,86,Hotel California,Eagles,[{'song_link': 'https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv'}]
787,87,Take It Easy,Eagles,[{'song_link': 'https://open.spotify.com/track/4yugZvBYaoREkJKtbG08Qr'}]
788,88,Desperado,Eagles,[{'song_link': 'https://open.spotify.com/track/2TjnCxxQRYn56Ye8gkUKiW'}]
789,89,One of These Nights,Eagles,[{'song_link': 'https://open.spotify.com/album/0F77QekrNe8vVAjU2sepja'}]
790,90,Lyin’ Eyes,Eagles,[]
791,91,Juicy,The Notorious B.I.G.,[{'song_link': 'https://open.spotify.com/track/5ByAIlEEnxYdvpnezg7HTX'}]
792,92,Big Poppa,The Notorious B.I.G.,[{'song_link': 'https://open.spotify.com/track/2g8HN35AnVGIk7B8yMucww'}]
793,93,Suicidal Thoughts,The Notorious B.I.G.,[{'song_link': 'https://open.spotify.com/track/157wRLN8BvMiucuHvmdd0b'}]
794,94,Hypnotize,The Notorious B.I.G.,[{'song_link': 'https://open.spotify.com/track/6RAssOFl58sfOb20jaWq7B'}]
795,95,Ten Crack Commandments,The Notorious B.I.G.,[{'song_link': 'https://open.spotify.com/track/6RE2juC5Mp6erdBfSWsRte'}]
796,96,Don’t Know Why,Norah Jones,[{'song_link': 'https://open.spotify.com/track/6ybViy2qrO9sIi41EgRJgx'}]
797,97,Come Away With Me,Norah Jones,[{'song_link': 'https://open.spotify.com/track/0Cvjlph1WGbwZY1PlMEtJY'}]
